School Code,"Enrolled
(K-12)","Utilized
(K-12)","Percent_Eligable
Eligible FRPM 
(K-12)"
0112607,413,308,0.75
0123968,252,180,0.71
0124172,387,53,0.14
0125567,448,127,0.28
0130401,77,77,1.00
0130419,175,149,0.85
0131581,179,153,0.85
0136101,106,27,0.25
0136226,23,18,0.78
6001788,587,546,0.93
6002000,463,422,0.91
0131755,40,40,1.00
0131763,375,373,0.99
0000001,32,10,0.31
0106401,187,58,0.31
0111765,504,337,0.67
0119222,553,167,0.30
0122085,489,184,0.38
0126656,415,96,0.23
0130229,1776,410,0.23
0130609,368,117,0.32
0130625,183,181,0.99
0131805,203,43,0.21
0132142,1329,587,0.44
0134304,111,58,0.52
6090005,87,30,0.34
6090013,470,67,0.14
6090021,644,111,0.17
6090039,345,73,0.21
6090047,554,276,0.50
6090054,873,150,0.17
6090112,519,257,0.50
6090120,374,167,0.45
6100374,643,82,0.13
6110779,640,71,0.11
0000001,2,1,0.50
0130294,12,6,0.50
0130450,1129,232,0.21
6090146,553,80,0.14
6090161,880,166,0.19
6095376,508,73,0.14
6116222,574,181,0.32
0000001,30,8,0.27
0122689,187,143,0.76
0122697,344,251,0.73
0131177,3117,884,0.28
0134924,51,37,0.73
6056857,1024,279,0.27
6056865,634,243,0.38
6090187,445,105,0.24
6090195,399,140,0.35
6090211,320,119,0.37
6090252,408,130,0.32
6090278,381,142,0.37
6090286,551,138,0.25
6090294,498,281,0.56
6090302,290,103,0.36
6090310,423,181,0.43
6090328,500,157,0.31
6097729,442,148,0.33
6105316,296,116,0.39
0000001,7,2,0.29
0130047,13,3,0.23
0132225,2934,698,0.24
0133876,13,4,0.31
0135533,109,52,0.48
6090351,474,220,0.46
6090369,468,95,0.20
6090385,784,194,0.25
6090393,660,111,0.17
6090401,502,187,0.37
6090419,145,23,0.16
6090435,494,86,0.17
6090468,467,148,0.32
6090484,434,50,0.12
6097653,1388,338,0.24
6113005,420,38,0.09
0132746,179,132,0.74
6090492,511,392,0.77
0000001,46,9,0.20
0127233,40,3,0.08
0130062,2273,439,0.19
0130138,167,83,0.50
0130435,25,9,0.36
0130534,347,143,0.41
0134270,2360,358,0.15
0134452,1379,527,0.38
0135244,2014,118,0.06
0138693,1940,519,0.27
6000541,461,197,0.43
6000558,718,277,0.39
6000566,426,217,0.51
6000590,495,244,0.49
6000624,651,207,0.32
6000640,510,141,0.28
6000665,662,184,0.28
6000673,902,38,0.04
6000681,633,135,0.21
6000715,591,134,0.23
6000723,636,88,0.14
6000749,709,66,0.09
6000756,605,76,0.13
6000764,570,125,0.22
6000798,881,91,0.10
6000806,770,177,0.23
6000830,542,148,0.27
6000848,1073,52,0.05
6056873,1006,284,0.28
6056881,742,309,0.42
6056907,1212,179,0.15
6056915,1333,209,0.16
6056923,1126,72,0.06
6066468,778,50,0.06
6089320,717,106,0.15
6089619,910,150,0.16
6090526,747,40,0.05
6090534,550,22,0.04
6090542,858,165,0.19
6090559,578,114,0.20
6104723,948,83,0.09
6106983,833,56,0.07
6111330,1013,48,0.05
0000001,67,13,0.19
0108670,593,364,0.61
0111815,746,349,0.47
0113902,708,458,0.65
0119248,249,60,0.24
0127696,557,341,0.61
0127944,198,116,0.59
0131334,25,21,0.84
0133009,187,147,0.79
0133629,1607,1141,0.71
0135319,1978,1294,0.65
0138339,1446,1088,0.75
6000889,350,259,0.74
6000905,914,602,0.66
6000913,759,543,0.72
6000921,581,352,0.61
6000947,423,301,0.71
6000962,567,404,0.71
6000988,537,386,0.72
6000996,608,410,0.67
6001044,663,463,0.70
6001051,421,236,0.56
6001093,557,399,0.72
6001101,552,423,0.77
6001127,536,377,0.70
6001135,768,519,0.68
6001176,681,406,0.60
6001192,500,343,0.69
6056931,613,424,0.69
6056949,548,427,0.78
6056956,571,394,0.69
6056972,509,404,0.79
6062160,540,348,0.64
6066476,732,511,0.70
6090583,587,331,0.56
6104566,716,568,0.79
6113815,140,101,0.72
