,Mean Scale Score,County Name,School Code,District Code,Zip Code,District Name,Total_Students,Per_Student_Spending,Median,Mean,Pop,YearsTeaching,Enrolled,Utilized,Percent_Eligible,Percent_Utilized,Sanctuary,Age,Percentile
0,2520.025,Sacramento,100040,67348,95632,GALT JOINT,3455.23,11441.71,64144.0,73007.00,29269.0,13.68,929,448,0.48,0.4822389666307858,1.0,43.64,7
2,2419.7625000000003,Sacramento,6033310,67348,95632,GALT JOINT,3455.23,11441.71,64144.0,73007.00,29269.0,13.68,567,463,0.82,0.8165784832451499,1.0,43.64,1
4,2535.25,Sacramento,3433471,67355,95632,GALT JOINT,2049.42,11850.39,64144.0,73007.00,29269.0,13.68,947,645,0.68,0.6810982048574445,1.0,43.64,7
6,2430.075,Kern,100685,63503,93307,GREENFIELD,8995.08,10319.86,35780.0,43139.00,82658.0,15.344262295081966,1014,899,0.89,0.8865877712031558,0.0,43.967213114754095,1
8,2490.6,Kern,101014,63503,93307,GREENFIELD,8995.08,10319.86,35780.0,43139.00,82658.0,15.344262295081966,1048,929,0.89,0.8864503816793893,0.0,43.967213114754095,5
10,2422.8999999999996,Kern,110767,63503,93307,GREENFIELD,8995.08,10319.86,35780.0,43139.00,82658.0,15.344262295081966,778,703,0.9,0.903598971722365,0.0,43.967213114754095,1
12,2511.25,Kern,6009567,63503,93307,GREENFIELD,8995.08,10319.86,35780.0,43139.00,82658.0,15.344262295081966,904,846,0.94,0.9358407079646017,0.0,43.967213114754095,6
14,2444.266666666667,Kern,6111157,63503,93307,GREENFIELD,8995.08,10319.86,35780.0,43139.00,82658.0,15.344262295081966,895,813,0.91,0.9083798882681564,0.0,43.967213114754095,2
16,2548.05,Kern,6112270,63503,93307,GREENFIELD,8995.08,10319.86,35780.0,43139.00,82658.0,15.344262295081966,1093,980,0.9,0.8966148215919487,0.0,43.967213114754095,8
18,2459.3,Kern,116715,63503,93313,GREENFIELD,8995.08,10319.86,62945.0,71113.00,43553.0,15.344262295081966,944,771,0.82,0.8167372881355932,0.0,43.967213114754095,3
20,2382.5999999999995,Monterey,6026116,66035,93927,GREENFIELD,3363.3,11080.45,52344.0,63866.00,17547.0,15.344262295081966,899,856,0.95,0.9521690767519466,1.0,43.967213114754095,0
22,2381.2,Monterey,6089387,66035,93927,GREENFIELD,3363.3,11080.45,52344.0,63866.00,17547.0,15.344262295081966,784,759,0.97,0.9681122448979592,1.0,43.967213114754095,0
24,2448.4666666666667,Monterey,6111645,66035,93927,GREENFIELD,3363.3,11080.45,52344.0,63866.00,17547.0,15.344262295081966,1151,1079,0.94,0.9374456993918332,1.0,43.967213114754095,2
26,2407.4624999999996,Kern,106690,63461,93307,FAIRFAX EL,2575.57,10891.06,35780.0,43139.00,82658.0,10.210526315789474,688,627,0.91,0.9113372093023255,0.0,41.63157894736842,0
27,2493.075,Kern,107987,63461,93307,FAIRFAX EL,2575.57,10891.06,35780.0,43139.00,82658.0,10.210526315789474,589,528,0.9,0.8964346349745331,0.0,41.63157894736842,5
28,2445.2250000000004,Kern,129130,63461,93307,FAIRFAX EL,2575.57,10891.06,35780.0,43139.00,82658.0,10.210526315789474,732,635,0.87,0.8674863387978142,0.0,41.63157894736842,2
29,2419.3750000000005,Kern,6009500,63461,93307,FAIRFAX EL,2575.57,10891.06,35780.0,43139.00,82658.0,10.210526315789474,696,643,0.92,0.9238505747126436,0.0,41.63157894736842,1
30,2426.1,Kern,6008866,63321,93307,BAKERSFIEL,28918.82,12012.25,35780.0,43139.00,82658.0,14.514018691588785,791,756,0.96,0.9557522123893806,0.0,44.504672897196265,1
31,2386.2,Kern,6008940,63321,93307,BAKERSFIEL,28918.82,12012.25,35780.0,43139.00,82658.0,14.514018691588785,860,838,0.97,0.9744186046511628,0.0,44.504672897196265,0
32,2371.95,Kern,6009138,63321,93307,BAKERSFIEL,28918.82,12012.25,35780.0,43139.00,82658.0,14.514018691588785,696,655,0.94,0.9410919540229885,0.0,44.504672897196265,0
33,2436.6499999999996,Kern,6009187,63321,93307,BAKERSFIEL,28918.82,12012.25,35780.0,43139.00,82658.0,14.514018691588785,762,743,0.98,0.9750656167979003,0.0,44.504672897196265,2
34,2487.925,Kern,129189,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,949,699,0.74,0.7365648050579557,0.0,44.504672897196265,5
35,2453.75,Kern,6008841,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,892,709,0.79,0.7948430493273543,0.0,44.504672897196265,3
36,2411.4,Kern,6008981,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,851,827,0.97,0.9717978848413631,0.0,44.504672897196265,0
37,2462.375,Kern,6009021,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,673,601,0.89,0.8930163447251115,0.0,44.504672897196265,3
38,2439.925,Kern,6009120,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,722,685,0.95,0.9487534626038782,0.0,44.504672897196265,2
39,2478.4499999999994,Kern,6009153,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,954,931,0.98,0.9758909853249476,0.0,44.504672897196265,4
40,2461.7,Kern,6009161,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,953,867,0.91,0.9097586568730325,0.0,44.504672897196265,3
41,2461.45,Kern,6109052,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,922,889,0.96,0.9642082429501084,0.0,44.504672897196265,3
42,2473.333333333333,Kern,6111264,63321,93306,BAKERSFIEL,28918.82,12012.25,50400.0,62047.00,64587.0,14.514018691588785,1084,1012,0.93,0.933579335793358,0.0,44.504672897196265,4
43,2470.2999999999997,Kern,6008916,63321,93304,BAKERSFIEL,28918.82,12012.25,36371.0,45409.00,48731.0,14.514018691588785,805,752,0.93,0.9341614906832298,0.0,44.504672897196265,4
44,2490.483333333333,Kern,6008957,63321,93304,BAKERSFIEL,28918.82,12012.25,36371.0,45409.00,48731.0,14.514018691588785,1110,1095,0.99,0.9864864864864865,0.0,44.504672897196265,5
45,2401.0250000000005,Kern,6009047,63321,93304,BAKERSFIEL,28918.82,12012.25,36371.0,45409.00,48731.0,14.514018691588785,700,679,0.97,0.97,0.0,44.504672897196265,0
46,2408.0666666666666,Kern,6009070,63321,93304,BAKERSFIEL,28918.82,12012.25,36371.0,45409.00,48731.0,14.514018691588785,792,781,0.99,0.9861111111111112,0.0,44.504672897196265,0
47,2462.7,Kern,6009005,63321,93309,BAKERSFIEL,28918.82,12012.25,52318.0,62506.00,58409.0,14.514018691588785,893,827,0.93,0.9260918253079508,0.0,44.504672897196265,3
48,2409.5333333333333,Kern,6009104,63321,93305,BAKERSFIEL,28918.82,12012.25,37340.0,46869.00,37601.0,14.514018691588785,872,829,0.95,0.9506880733944955,0.0,44.504672897196265,0
49,2480.1000000000004,Kern,6009179,63321,93305,BAKERSFIEL,28918.82,12012.25,37340.0,46869.00,37601.0,14.514018691588785,702,669,0.95,0.9529914529914529,0.0,44.504672897196265,5
50,2448.675,Kern,6116719,63321,93305,BAKERSFIEL,28918.82,12012.25,37340.0,46869.00,37601.0,14.514018691588785,634,562,0.89,0.886435331230284,0.0,44.504672897196265,2
51,2446.35,Kern,6009690,63560,93307,LAMONT ELE,2958.4,10666.62,35780.0,43139.00,82658.0,11.23076923076923,625,601,0.96,0.9616,0.0,43.19230769230769,2
52,2417.15,Kern,6009674,63560,93241,LAMONT ELE,2958.4,10666.62,32405.0,40337.00,17489.0,11.23076923076923,1182,1072,0.91,0.9069373942470389,0.0,43.19230769230769,0
53,2386.3500000000004,Kern,6009682,63560,93241,LAMONT ELE,2958.4,10666.62,32405.0,40337.00,17489.0,11.23076923076923,786,674,0.86,0.8575063613231552,0.0,43.19230769230769,0
54,2441.225,Kern,6009708,63560,93241,LAMONT ELE,2958.4,10666.62,32405.0,40337.00,17489.0,11.23076923076923,512,477,0.93,0.931640625,0.0,43.19230769230769,2
55,2471.75,Kern,6010227,63834,93307,VINELAND E,673.29,10784.61,35780.0,43139.00,82658.0,10.571428571428571,325,325,1.0,1.0,0.0,40.714285714285715,4
56,2345.4,Kern,6010235,63834,93307,VINELAND E,673.29,10784.61,35780.0,43139.00,82658.0,10.571428571428571,407,406,1.0,0.9975429975429976,0.0,40.714285714285715,0
57,2439.6833333333334,Kern,113027,63313,93203,ARVIN UNIO,2923.44,11333.82,34000.0,40386.00,20938.0,17.7,865,799,0.92,0.923699421965318,0.0,47.45,2
58,2479.6,Kern,6008817,63313,93203,ARVIN UNIO,2923.44,11333.82,34000.0,40386.00,20938.0,17.7,618,609,0.99,0.9854368932038835,0.0,47.45,5
59,2418.525,Kern,6008833,63313,93203,ARVIN UNIO,2923.44,11333.82,34000.0,40386.00,20938.0,17.7,845,822,0.97,0.9727810650887574,0.0,47.45,1
60,2418.9375,Kern,6110464,63313,93203,ARVIN UNIO,2923.44,11333.82,34000.0,40386.00,20938.0,17.7,722,686,0.95,0.9501385041551247,0.0,47.45,1
61,2433.25,Kern,6010003,63578,93263,RICHLAND U,3269.89,10412.95,39026.0,48059.00,19582.0,10.703703703703704,722,662,0.92,0.9168975069252078,0.0,38.77777777777778,1
62,2391.6,Riverside,100248,73676,92274,COACHELLA ,17583.94,13964.65,32274.0,45901.00,19801.0,12.789855072463768,617,566,0.92,0.9173419773095624,1.0,43.98550724637681,0
63,2509.4,Riverside,100255,73676,92274,COACHELLA ,17583.94,13964.65,32274.0,45901.00,19801.0,12.789855072463768,2030,1786,0.88,0.8798029556650246,1.0,43.98550724637681,6
64,2454.625,Riverside,100263,73676,92274,COACHELLA ,17583.94,13964.65,32274.0,45901.00,19801.0,12.789855072463768,1094,1032,0.94,0.943327239488117,1.0,43.98550724637681,3
65,2528.05,Riverside,3330990,73676,92274,COACHELLA ,17583.94,13964.65,32274.0,45901.00,19801.0,12.789855072463768,2684,2307,0.86,0.8595380029806259,1.0,43.98550724637681,7
66,2377.4375,Riverside,6032361,73676,92274,COACHELLA ,17583.94,13964.65,32274.0,45901.00,19801.0,12.789855072463768,660,635,0.96,0.9621212121212122,1.0,43.98550724637681,0
67,2504.8,Riverside,112649,73676,92236,COACHELLA ,17583.94,13964.65,44572.0,51110.00,41083.0,12.789855072463768,924,766,0.83,0.829004329004329,1.0,43.98550724637681,6
68,2434.375,Riverside,113753,73676,92236,COACHELLA ,17583.94,13964.65,44572.0,51110.00,41083.0,12.789855072463768,714,685,0.96,0.9593837535014006,1.0,43.98550724637681,2
69,2408.2499999999995,Riverside,6031694,73676,92236,COACHELLA ,17583.94,13964.65,44572.0,51110.00,41083.0,12.789855072463768,805,642,0.8,0.7975155279503106,1.0,43.98550724637681,0
