CO,District Code,DISTRICT,Total_Budget,Total_Students,Per_Student_Spending,LEA Type
01,61119,Alameda Unified,"104,846,431","9,061.8","11,570",Unified
01,61127,Albany City Unified,"43,812,775","3,601.5","12,165",Unified
01,61143,Berkeley Unified,"142,193,131","9,171.4","15,504",Unified
01,61150,Castro Valley Unified,"91,311,843","9,023.0","10,120",Unified
01,61168,Emery Unified,"11,020,283",644.3,"17,106",Unified
01,61176,Fremont Unified,"334,839,657","33,781.3","9,912",Unified
01,61192,Hayward Unified,"250,968,269","19,670.3","12,759",Unified
01,61200,Livermore Valley Joint Unified,"132,062,790","12,722.8","10,380",Unified
01,61218,Mountain House Elementary,"445,470",17.2,"25,914",Elementary
01,61234,Newark Unified,"62,719,325","5,614.2","11,172",Unified
01,61242,New Haven Unified,"126,541,102","11,341.7","11,157",Unified
01,61259,Oakland Unified,"518,377,599","34,942.2","14,835",Unified
01,61275,Piedmont City Unified,"39,206,881","2,605.4","15,048",Unified
01,61291,San Leandro Unified,"91,856,111","8,222.9","11,171",Unified
01,61309,San Lorenzo Unified,"118,360,432","10,133.2","11,680",Unified
01,75093,Dublin Unified,"98,079,711","10,427.3","9,406",Unified
01,75101,Pleasanton Unified,"144,696,715","14,362.4","10,075",Unified
01,75119,Sunol Glen Unified,"3,049,646",263.9,"11,555",Unified
02,61333,Alpine County Unified,"2,634,969",77.2,"34,145",Unified
03,73981,Amador County Unified,"32,479,877","3,648.9","8,901",Unified
04,61382,Bangor Union Elementary,"1,126,798",80.6,"13,980",Elementary
04,61408,Biggs Unified,"6,598,591",573.0,"11,516",Unified
04,61424,Chico Unified,"125,247,896","11,407.7","10,979",Unified
04,61432,Durham Unified,"9,904,751",948.6,"10,442",Unified
04,61440,Feather Falls Union Elementary,"374,624",12.8,"29,176",Elementary
04,61457,Golden Feather Union Elementary,"1,550,887",95.8,"16,192",Elementary
04,61499,Manzanita Elementary,"2,507,279",280.4,"8,941",Elementary
04,61507,Oroville City Elementary,"26,013,535","2,249.6","11,564",Elementary
04,61515,Oroville Union High,"25,216,310","1,943.3","12,976",High
04,61523,Palermo Union Elementary,"12,830,586","1,184.1","10,836",Elementary
04,61531,Paradise Unified,"35,721,800","3,165.2","11,286",Unified
04,61549,Thermalito Union,"15,660,888","1,409.1","11,114",Elementary
04,73379,Pioneer Union Elementary,"961,236",54.8,"17,544",Elementary
04,75507,Gridley Unified,"20,564,653","1,916.7","10,729",Unified
05,61556,Bret Harte Union High,"10,071,201",650.1,"15,491",High
05,61564,Calaveras Unified,"28,090,284","2,771.9","10,134",Unified
05,61572,Mark Twain Union Elementary,"7,117,153",797.4,"8,926",Elementary
05,61580,Vallecito Union,"7,017,725",561.7,"12,495",Elementary
06,61598,Colusa Unified,"13,685,702","1,400.3","9,773",Unified
06,61606,Maxwell Unified,"3,867,560",320.8,"12,058",Unified
06,61614,Pierce Joint Unified,"14,099,950","1,424.9","9,895",Unified
06,61622,Williams Unified,"13,249,391","1,276.9","10,376",Unified
07,61630,Acalanes Union High,"68,696,852","5,287.7","12,992",High
07,61648,Antioch Unified,"178,352,819","15,915.8","11,206",Unified
07,61655,Brentwood Union Elementary,"85,639,896","8,689.5","9,856",Elementary
07,61663,Byron Union Elementary,"18,171,794","1,543.3","11,775",Elementary
07,61671,Canyon Elementary,"829,369",69.3,"11,968",Elementary
07,61697,John Swett Unified,"18,135,023","1,556.6","11,651",Unified
07,61705,Knightsen Elementary,"5,847,715",562.6,"10,394",Elementary
07,61713,Lafayette Elementary,"39,435,895","3,513.0","11,226",Elementary
07,61721,Liberty Union High,"79,513,486","7,697.3","10,330",High
07,61739,Martinez Unified,"41,368,493","3,961.9","10,442",Unified
07,61747,Moraga Elementary,"20,902,727","1,840.1","11,360",Elementary
07,61754,Mt. Diablo Unified,"351,521,818","30,120.0","11,671",Unified
07,61762,Oakley Union Elementary,"48,910,143","4,838.3","10,109",Elementary
07,61770,Orinda Union Elementary,"30,252,897","2,467.5","12,261",Elementary
07,61788,Pittsburg Unified,"123,613,161","10,839.4","11,404",Unified
07,61796,West Contra Costa Unified,"310,204,406","27,003.8","11,487",Unified
07,61804,San Ramon Valley Unified,"317,360,173","31,423.9","10,099",Unified
07,61812,Walnut Creek Elementary,"35,143,617","3,487.2","10,078",Elementary
08,61820,Del Norte County Unified,"37,734,081","3,390.4","11,130",Unified
